Date,Open,High,Low,Close,Adj Close,Volume
25-08-1972,0.021159001,0.021566,0.021159001,0.021484001,0.011638668,7526400
28-08-1972,0.021484001,0.021647001,0.021403,0.021403,0.011594782,2918400
29-08-1972,0.021322001,0.021322001,0.021159001,0.021159001,0.011462602,5836800
30-08-1972,0.021159001,0.021159001,0.020996001,0.021159001,0.011462602,1228800
31-08-1972,0.020996001,0.020996001,0.020833001,0.020833001,0.011285999,2611200
01-09-1972,0.020915,0.020996001,0.020915,0.020996001,0.011374299,768000
05-09-1972,0.020996001,0.020996001,0.020833001,0.020833001,0.011285999,1689600
06-09-1972,0.020996001,0.020996001,0.020996001,0.020996001,0.011374299,768000
07-09-1972,0.020996001,0.020996001,0.020915,0.020915,0.011330423,3532800
08-09-1972,0.020833001,0.020833001,0.020752,0.020752,0.011242119,1996800
11-09-1972,0.020915,0.020915,0.020915,0.020915,0.011330423,2764800
12-09-1972,0.020915,0.020915,0.020915,0.020915,0.011330423,1843200
13-09-1972,0.020915,0.020915,0.020915,0.020915,0.011330423,460800
14-09-1972,0.020915,0.021077,0.020833001,0.021077,0.011418174,3840000
15-09-1972,0.020996001,0.020996001,0.020915,0.020915,0.011330423,1536000
18-09-1972,0.020996001,0.021077,0.020996001,0.020996001,0.011374299,3225600
19-09-1972,0.020915,0.020915,0.020752,0.020833001,0.011285999,9369600
20-09-1972,0.020671001,0.020671001,0.020671001,0.020671001,0.011198237,153600
21-09-1972,0.020508001,0.020508001,0.020020001,0.020020001,0.010845567,4300800
22-09-1972,0.019938,0.019938,0.019286999,0.019286999,0.010448474,2611200
25-09-1972,0.019206,0.019206,0.018717,0.018717,0.010139681,2918400
26-09-1972,0.018717,0.018717,0.018555,0.018635999,0.010095801,2150400
27-09-1972,0.018472999,0.018472999,0.018229,0.018229,0.009875315,1996800
28-09-1972,0.018555,0.01888,0.018555,0.018717,0.010139681,4300800
29-09-1972,0.01888,0.018962,0.01888,0.018962,0.010272405,768000
02-10-1972,0.019123999,0.019857001,0.019123999,0.019857001,0.010757265,4915200
03-10-1972,0.020020001,0.020182,0.020020001,0.020182,0.010933324,1536000
04-10-1972,0.020264,0.020752,0.020264,0.020589,0.011153811,4608000
05-10-1972,0.020467,0.020467,0.020020001,0.020020001,0.010845567,4147200
06-10-1972,0.019938,0.019938,0.019206,0.019206,0.010404592,29337600
09-10-1972,0.019368,0.019531,0.019368,0.019531,0.010580648,3840000
10-10-1972,0.019531,0.019531,0.019531,0.019531,0.010580648,0
11-10-1972,0.019531,0.019613,0.019368,0.019613,0.01062508,1382400
12-10-1972,0.019531,0.019531,0.01945,0.01945,0.010536781,1075200
13-10-1972,0.01945,0.01945,0.01945,0.01945,0.010536781,153600
16-10-1972,0.019368,0.019368,0.018962,0.018962,0.010272405,1996800
17-10-1972,0.018962,0.019368,0.018798999,0.019286999,0.010448474,7372800
18-10-1972,0.01945,0.020833001,0.01945,0.020671001,0.011198237,23347200
19-10-1972,0.020671001,0.020833001,0.020671001,0.020752,0.011242119,31795200
20-10-1972,0.020589,0.020589,0.020589,0.020589,0.011153811,153600
23-10-1972,0.020589,0.020589,0.020508001,0.020508001,0.011109936,1382400
24-10-1972,0.020589,0.020589,0.020589,0.020589,0.011153811,307200
25-10-1972,0.020426,0.020426,0.020182,0.020182,0.010933324,3686400
26-10-1972,0.020345001,0.020345001,0.020345001,0.020345001,0.01102162,153600
27-10-1972,0.020426,0.020426,0.020426,0.020426,0.011065513,614400
30-10-1972,0.020426,0.020508001,0.020264,0.020345001,0.01102162,3993600
31-10-1972,0.020426,0.020996001,0.020426,0.020996001,0.011374299,2150400
01-11-1972,0.02124,0.021973001,0.02124,0.021973001,0.011903579,6758400
02-11-1972,0.022135001,0.02238,0.022135001,0.022135001,0.01199134,2150400
03-11-1972,0.022054,0.022054,0.021973001,0.022054,0.011947456,4300800
06-11-1972,0.022054,0.022054,0.022054,0.022054,0.011947456,460800
08-11-1972,0.022135001,0.02238,0.022135001,0.022298001,0.012079641,2150400
09-11-1972,0.022298001,0.022298001,0.022135001,0.022298001,0.012079641,2457600
10-11-1972,0.022298001,0.022298001,0.022298001,0.022298001,0.012079641,0
13-11-1972,0.022217,0.022217,0.022054,0.022217,0.012035761,1228800
14-11-1972,0.022135001,0.022135001,0.021973001,0.021973001,0.011903579,460800
15-11-1972,0.021973001,0.022054,0.021810001,0.021891,0.011859159,1689600
